Date,2007,2008,2009,2010,2011,MAX,MIN,Difference
25-Aug,4318.372,3847.715,3865.885,3425.435,,4318.372,3425.435,892.937
26-Aug,3707.567,3599.564,5191.952,2921.556,,5191.952,2921.556,2270.396
27-Aug,2495.177,3064.356,4613.472,3453.619,,4613.472,2495.177,2118.295
28-Aug,2084.054,2304.34,4766.185,3073.177,,4766.185,2084.054,2682.131
29-Aug,3025.024,2292.742,4978.728,3389.109,,4978.728,2292.742,2685.986
30-Aug,2927.275,2047.86,5009.444,2792.224,,5009.444,2047.86,2961.584
31-Aug,2501.098,1816.674,3180.413,2446.801,,3180.413,1816.674,1363.739
1-Sep,2489.145,3381.454,2845.418,2470.673,,3381.454,2470.673,910.781
2-Sep,2370.338,4754.724,2890.173,2398.156,,4754.724,2370.338,2384.386
3-Sep,3713.428,6627.258,4563.093,2419.13,,6627.258,2419.13,4208.128
4-Sep,3642.498,5705.328,4539.703,2338.433,,5705.328,2338.433,3366.895
5-Sep,2889.378,5530.932,3471.023,3672.29,,5530.932,2889.378,2641.554
6-Sep,3353.915,5094.575,4501.613,2555.67,,5094.575,2555.67,2538.905
7-Sep,3245.703,5515.583,4265.334,2547.909,,5515.583,2547.909,2967.674
8-Sep,5257.382,6004.103,3875.714,2464.829,,6004.103,2464.829,3539.274
9-Sep,6618.483,4571.747,4208.305,2499.659,,6618.483,2499.659,4118.824
10-Sep,6506.764,3862.748,5225.795,3302.198,,6506.764,3302.198,3204.566
11-Sep,6255.793,3743.288,6031.095,5491.258,,6255.793,3743.288,2512.505
12-Sep,6124.304,3004.948,6226.385,6306.351,,6306.351,3004.948,3301.403
13-Sep,7071.832,2916.832,8390.151,7476.579,,8390.151,2916.832,5473.319
14-Sep,7085.252,3296.377,8137.493,6984.941,,8137.493,3296.377,4841.116
15-Sep,9557.313,5582.436,10616.295,6501.257,,10616.295,5582.436,5033.859
16-Sep,9591.678,6060.738,10332.719,5306.661,,10332.719,5306.661,5026.058
17-Sep,6738.678,5939.978,11014.996,4658.898,,11014.996,4658.898,6356.098
18-Sep,6753.238,8424.029,11018.708,4511.835,,11018.708,4511.835,6506.873
19-Sep,6457.748,8484.983,10512.668,6252.96,,10512.668,6252.96,4259.708
20-Sep,6292.708,8627.219,10728.919,6507.592,,10728.919,6292.708,4436.211
21-Sep,6128.288,10431.268,11399.417,6343.056,,11399.417,6128.288,5271.129
22-Sep,7361.858,13967.418,15240.563,6844.436,,15240.563,6844.436,8396.127
23-Sep,7400.595,12429.785,15213.614,7075.058,,15213.614,7075.058,8138.556
24-Sep,8409.068,12089.093,14333.77,8019.478,,14333.77,8019.478,6314.292
